"site","zone","plot_id","year","density","germ","percent_mort","tot_prev","swe","htc","ti_area","stand_size","isl_density","zone_area","zone_density","recruit_decade","zone_age","zone_basal","zone_height"
"ti13","windward",2175,2016,1,0,0,0,NA,NA,67,6,900,13,770,0.12,78,0.00785,2.5
"ti13","windward",2176,2014,1,0,NA,NA,62.0123846888311,0.820854532617945,67,6,900,13,770,0.12,78,0.00785,2.5
"ti13","windward",2176,2015,2,1,0,1,72.6741035776031,2.5391076781931,67,6,900,13,770,0.12,78,0.00785,2.5
"ti13","windward",2176,2016,1,1,0.5,2,NA,NA,67,6,900,13,770,0.12,78,0.00785,2.5
"tis","deflation",2521,2014,5,0,0,2,347.80167671152,0.261214907231617,2387,127,530,723,280,0.5,95.3,0.0852,3.615
"tis","deflation",2521,2015,3,0,0.6,5,264.04042044321,0.256555116319805,2387,127,530,723,280,0.5,95.3,0.0852,3.615
"tis","deflation",2521,2016,4,2,0.333333333,3,40.9321731299123,0.83916555999738,2387,127,530,723,280,0.5,95.3,0.0852,3.615
"tis","deflation",2532,2014,12,1,NA,NA,347.80167671152,0.261214907231617,2387,127,530,723,280,0.5,95.3,0.0852,3.615
"tis","deflation",2532,2015,6,0,0.5,12,264.04042044321,0.256555116319805,2387,127,530,723,280,0.5,95.3,0.0852,3.615
"tis","deflation",2532,2016,9,0,0,6,40.9321731299123,0.83916555999738,2387,127,530,723,280,0.5,95.3,0.0852,3.615
"tis","interior",1644,2015,6,2,NA,NA,463.947649607684,0.268582844589029,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",1644,2016,5,1,0.333333333,6,245.553046426636,0.224039359955647,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2522,2014,9,1,NA,NA,804.659469889152,0.266766885245469,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2522,2015,6,0,0.444444444,9,463.947649607684,0.268582844589029,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2522,2016,8,1,0,6,245.553046426636,0.224039359955647,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2523,2014,3,0,0,3,804.659469889152,0.266766885245469,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2523,2015,3,1,0.333333333,3,463.947649607684,0.268582844589029,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2523,2016,3,1,0.333333333,3,245.553046426636,0.224039359955647,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2527,2014,25,4,NA,NA,804.659469889152,0.266766885245469,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2527,2015,17,4,0.52,25,463.947649607684,0.268582844589029,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2527,2016,15,0,0.117647059,17,245.553046426636,0.224039359955647,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2528,2014,22,6,NA,NA,804.659469889152,0.266766885245469,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2528,2015,14,0,0.454545455,22,463.947649607684,0.268582844589029,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2528,2016,14,0,0.285714286,14,245.553046426636,0.224039359955647,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2529,2014,27,2,NA,NA,804.659469889152,0.266766885245469,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2529,2015,24,3,0.333333333,27,463.947649607684,0.268582844589029,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2529,2016,24,0,0,24,245.553046426636,0.224039359955647,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2530,2014,8,1,NA,NA,804.659469889152,0.266766885245469,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2530,2015,5,3,0.5,8,463.947649607684,0.268582844589029,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2530,2016,3,0,0.4,5,245.553046426636,0.224039359955647,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2531,2014,17,0,NA,NA,804.659469889152,0.266766885245469,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2531,2015,29,12,0.176470588,17,463.947649607684,0.268582844589029,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2531,2016,21,1,0.379310345,29,245.553046426636,0.224039359955647,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2533,2014,16,3,NA,NA,804.659469889152,0.266766885245469,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2533,2015,15,4,0.375,16,463.947649607684,0.268582844589029,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2533,2016,17,0,0.066666667,15,245.553046426636,0.224039359955647,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2534,2014,7,0,0,5,804.659469889152,0.266766885245469,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2534,2015,5,2,0.571428571,7,463.947649607684,0.268582844589029,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2534,2016,4,1,0.4,5,245.553046426636,0.224039359955647,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
"tis","interior",2535,2014,13,0,1,2,804.659469889152,0.266766885245469,2387,127,530,809,440,0.6,100.111111111111,0.149,4.60588235294118
